"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"Wales Office","Wales Office","Director's Office","161","Band D","18013","30800","Executive Assistant","1.00","Policy"
"Wales Office","Wales Office","Strategy & Constitution","162","Band A","42034","78164","Legal Adviser","1.80","Law"
"Wales Office","Wales Office","Strategy & Constitution","162","Band A","42034","78164","Policy Team Leader","2.00","Policy"
"Wales Office","Wales Office","Strategy & Constitution","162","Band B","29634","51709","Senior Policy Adviser","1.00","Policy"
"Wales Office","Wales Office","Strategy & Constitution","162","Band C","21096","39667","Policy Adviser","1.00","Policy"
"Wales Office","Wales Office","Strategy & Constitution","162","Band D","18013","30800","Policy Officer","1.00","Policy"
"Wales Office","Wales Office","Policy & Corporate Services","164","Band A","42034","78164","Accountant","1.00","Finance"
"Wales Office","Wales Office","Policy & Corporate Services","164","Band A","42034","78164","Policy Team Leader","2.00","Policy"
"Wales Office","Wales Office","Policy & Corporate Services","164","Band A","42034","78164","Not In Post","1.00","Economics"
"Wales Office","Wales Office","Policy & Corporate Services","164","Band A","42034","78164","Senior Policy Team Leader","1.00","Policy"
"Wales Office","Wales Office","Policy & Corporate Services","164","Band A","42034","78164","Operational Team Leader","1.00","Operational Delivery"
"Wales Office","Wales Office","Policy & Corporate Services","164","Band A","42034","78164","Finance Team Leader","1.00","Finance"
"Wales Office","Wales Office","Policy & Corporate Services","164","Band A","42034","78164","HR Team Leader","1.00","Human Resources"
"Wales Office","Wales Office","Policy & Corporate Services","164","Band B","29634","51709","Senior Policy Adviser","1.00","Policy"
"Wales Office","Wales Office","Policy & Corporate Services","164","Band B","29634","51709","Not In Post","1.00","Policy"
"Wales Office","Wales Office","Policy & Corporate Services","164","Band B","29634","51709","HR Manager","1.00","Human Resources"
"Wales Office","Wales Office","Policy & Corporate Services","164","Band C","21096","39667","Policy Adviser","6.00","Policy"
"Wales Office","Wales Office","Policy & Corporate Services","164","Band C","21096","39667","Not In Post","1.00","Policy"
"Wales Office","Wales Office","Policy & Corporate Services","164","Band C","21096","39667","Operational Manager","1.00","Operational Delivery"
"Wales Office","Wales Office","Policy & Corporate Services","164","Band D","18013","30800","Policy Officer","2.00","Policy"
"Wales Office","Wales Office","Policy & Corporate Services","164","Band D","18013","30800","Not In Post","1.00","Policy"
"Wales Office","Wales Office","Policy & Corporate Services","164","Band D","18013","30800","Finance Officer","1.00","Finance"
"Wales Office","Wales Office","Policy & Corporate Services","164","Band E/F","14144","22250","Policy Support Officer","1.00","Policy"
"Wales Office","Wales Office","Policy & Corporate Services","164","Band E/F","14144","22250","Operations Support Officer","2.60","Operational Delivery"
"Wales Office","Wales Office","Policy & Corporate Services","164","Band E/F","14144","22250","Finance Support Officer","1.00","Finance"
"Wales Office","Wales Office","Private Office","163","Band A","42034","78164","Senior Communications Team Leader","1.00","Communications"
"Wales Office","Wales Office","Private Office","163","Band A","42034","78164","Communications Team Leader","1.00","Communications"
"Wales Office","Wales Office","Private Office","163","Band A","42034","78164","Private Secretary","1.00","Policy"
"Wales Office","Wales Office","Private Office","163","Band B","29634","51709","Senior Communications Officer","1.00","Communications"
"Wales Office","Wales Office","Private Office","163","Band C","21096","39667","Not In Post","1.00","Policy"
"Wales Office","Wales Office","Private Office","163","Band C","21096","39667","Diary Manager","1.00","Policy"
"Wales Office","Wales Office","Private Office","163","Band C","21096","39667","Communications Officer","1.00","Policy"
"Wales Office","Wales Office","Private Office","163","Band D","18013","30800","Correspondence Manager","1.00","Policy"
"Wales Office","Wales Office","Private Office","163","Band D","18013","30800","Communications Support Officer","1.00","Communications"
"Wales Office","Wales Office","Private Office","163","Band E/F","14144","22250","Diary Support Officer","1.00","Policy"
"Wales Office","Wales Office","Private Office","163","Band E/F","14144","22250","Not In Post","1.00","Policy"
"Wales Office","Wales Office","Private Office","163","Band E/F","14144","22250","Correspondence Support Officer","1.00","Policy"
"Wales Office","Wales Office","Private Office","163","Band E/F","14144","22250","Not In Post","1.00","Policy"
